naAromAtom,nAtom,nN,nO,nS,nF,nCl,BCUTw-1h,BCUTp-1l,BCUTp-1h,nBondsD,SpMax1_Bhs,SpMax2_Bhs,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C3SP3,C4SP3,SCH-7,SC-3,VC-3,SPC-4,MIC0,nAtomLAC,piPC6,R_TpiPCTPC,n5Ring,n6Ring,nFRing,nF9Ring,nF10Ring,nFG12Ring,nHeteroRing,n6HeteroRing,VE3_D,VR1_D,class_label
18,87,5,5,1,1,0,31.97207333,4.04464738,11.790747300000001,5,5.005609701,4.885172385,0,3,14,4,6,1,0,0.32146577,4.300312368,1.897352503,7.3183196829999995,17.75641251,3,6.133262459,4.104148132,0,3,0,0,0,0,0,0,-8.910567317,556.3216902,active
0,78,4,4,1,0,0,31.97207273,5.072952769,11.50308254,4,5.114826459,5.10076285,0,3,2,0,7,2,0,0.107038088,1.8836296590000001,0.998498793,4.561994306,15.95207708,4,4.521788577,1.3514705880000002,0,1,1,0,0,1,2,1,-4.472308268,636.8307276,inactive
0,78,4,4,1,0,0,31.97207273,5.072952769,11.50308254,4,5.114826459,5.10076285,0,3,2,0,7,2,0,0.107038088,1.8836296590000001,0.998498793,4.561994306,15.95207708,4,4.521788577,1.3514705880000002,0,1,1,0,0,1,2,1,-4.472308268,636.8307276,inactive
0,78,4,4,1,0,0,31.97207273,5.073014249,11.50504557,4,5.1145665860000005,5.10076235,0,3,2,0,8,3,0,0.107038088,1.8836296590000001,1.03301659,4.561994306,15.95207708,4,4.521788577,1.3514705880000002,0,1,1,0,0,1,2,1,-4.472308268,636.8307276,inactive
0,78,4,4,1,0,0,31.97207273,5.073014249,11.50504557,4,5.1145665860000005,5.10076235,0,3,2,0,8,3,0,0.107038088,1.8836296590000001,1.03301659,4.561994306,15.95207708,4,4.521788577,1.3514705880000002,0,1,1,0,0,1,2,1,-4.472308268,636.8307276,inactive
0,76,4,4,2,0,0,31.97307436,5.073808076000001,12.18781115,4,5.106935171,5.092813978,0,3,2,0,8,1,0,0.107038088,1.8836296590000001,1.120507261,4.561994306,17.90055384,4,4.521788577,1.3514705880000002,0,1,1,0,0,1,2,1,-4.472308268,636.8307276,active
0,76,4,4,2,0,0,31.97307436,5.073808076000001,12.18781115,4,5.106935171,5.092813978,0,3,2,0,8,1,0,0.107038088,1.8836296590000001,1.120507261,4.561994306,17.90055384,4,4.521788577,1.3514705880000002,0,1,1,0,0,1,2,1,-4.472308268,636.8307276,inactive
0,76,4,4,2,0,0,31.97307436,5.07386948,12.18781137,4,5.1066748330000005,5.092813469,0,3,2,0,9,2,0,0.107038088,1.8836296590000001,1.1550250579999999,4.561994306,17.90055384,4,4.521788577,1.3514705880000002,0,1,1,0,0,1,2,1,-4.472308268,636.8307276,inactive
0,76,4,4,2,0,0,31.97307436,5.07386948,12.18781137,4,5.1066748330000005,5.092813469,0,3,2,0,9,2,0,0.107038088,1.8836296590000001,1.1550250579999999,4.561994306,17.90055384,4,4.521788577,1.3514705880000002,0,1,1,0,0,1,2,1,-4.472308268,636.8307276,inactive
6,80,4,5,2,0,0,31.97307478,4.502721902,11.61182714,4,4.955956479,4.9341423760000005,0,4,4,2,9,1,0,0.11785113,2.564043477,1.188325199,5.222138467,18.11694815,4,5.0728273139999995,2.1644363980000003,0,1,2,0,0,2,0,0,-4.939201196,578.4289725,inactive
