"","naAromAtom","nAtom","nN","nO","nS","nF","BCUTw.1h","BCUTp.1l","nBondsD","SpMax1_Bhs","SpMax2_Bhs","C2SP1","C1SP2","C2SP2","C3SP2","C1SP3","C4SP3","SCH.7","VC.3","SPC.4","MIC0","nAtomLAC","piPC6","R_TpiPCTPC","n5Ring","n6Ring","nF9Ring","nF10Ring","nFG12Ring","n6HeteroRing","VE3_D","VR1_D","class_label"
"2430",12,45,4,0,0,1,18.99840675,4.216735472,1,5.012176831,4.058029888,0,3,6,3,2,0,0.863236309,0.943710662,4.825237087,13.48464695,0,6.227524324,7.704247008,1,3,1,0,0,2,-4.496567873,219.5483404,2
"2431",18,40,4,1,0,0,15.99492144,6.029757882,1,4.051882679,3.971752268,0,3,9,4,1,0,0.447787046,0.796440182,4.284402693,13.43452733,0,6.38777328,9.904949357,0,4,0,1,0,2,-5.231296737,353.1593234,2
"2432",18,51,3,2,0,0,15.99592928,4.815002239,1,4.046508049,3.937544862,0,3,11,4,0,0,0.695275084,0.861647578,4.908450059,13.03721848,0,6.490581263,8.991881762,1,3,0,0,0,1,-6.714306097,312.080563,2
"2433",12,42,2,2,0,0,15.99592572,4.884805165,1,4.039995418,3.882268465,0,1,9,3,2,0,0.382821511,0.760124586,3.798361325,13.07460577,0,6.132584263,9.843835449,0,3,0,0,0,1,-5.622902358,211.0430651,2
"2434",18,40,4,0,1,0,31.97207218,6.049573261,1,4.034048592,3.928178034,0,3,9,4,1,0,0.447787046,1.392276736,4.284402693,15.56025927,0,6.38777328,9.904949357,0,4,0,1,0,2,-5.231296737,353.1593234,2
"2435",18,51,3,2,0,0,15.99592928,4.815002239,1,4.046508049,3.937544862,0,3,11,4,0,0,0.695275084,0.861647578,4.908450059,13.03721848,0,6.490581263,8.991881762,1,3,0,0,0,1,-6.714306097,312.080563,1
"2436",23,50,6,1,0,0,15.99492348,4.827669278,1,4.110780105,4.003176224,0,2,12,4,1,0,1.074429748,0.932964008,5.578169715,13.66246278,0,6.856692221,10.44244109,2,3,0,0,0,1,-5.422389125,334.2247074,1
"2437",12,38,2,1,0,0,34.96885357,5.929836001,1,4.035837844,3.875627554,0,1,9,3,2,0,0.407229279,0.88106544,3.702839294,16.92208703,0,6.087626637,9.846024854,0,3,0,0,0,1,-5.757044364,327.3388475,1
"2438",18,45,3,1,1,0,31.97207228,4.838040154,1,4.027106573,3.906142139,0,3,11,4,1,0,0.567835474,0.975517895,4.323958941,16.187902,0,6.432789358,9.615134428,1,3,0,0,0,1,-7.957146582,312.325992,1
"2439",12,45,4,0,0,1,18.99840675,4.216735472,1,5.012176831,4.058029888,0,3,6,3,2,0,0.863236309,0.943710662,4.825237087,13.48464695,0,6.227524324,7.704247008,1,3,1,0,0,2,-4.496567873,219.5483404,1
"2440",12,42,2,2,0,0,15.99592572,4.884805165,1,4.039995418,3.882268465,0,1,9,3,2,0,0.382821511,0.760124586,3.798361325,13.07460577,0,6.132584263,9.843835449,0,3,0,0,0,1,-5.622902358,211.0430651,1
"2441",23,49,5,1,1,0,31.9720725,4.844049027,1,4.076894115,3.98721922,0,4,11,4,1,0,1.074429748,1.178985623,5.578169715,16.88152913,0,6.856692221,10.44244109,2,3,0,0,0,1,-5.422389125,334.2247074,1
"2442",12,42,2,1,1,0,31.97207208,4.894712645,1,4.030528434,3.836374238,0,1,9,3,2,0,0.382821511,1.23811001,3.798361325,15.88755167,0,6.132584263,9.843835449,0,3,0,0,0,1,-5.622902358,211.0430651,1
"2443",12,45,4,0,0,1,18.99840675,4.216735472,1,5.012176831,4.058029888,0,3,6,3,2,0,0.863236309,0.943710662,4.825237087,13.48464695,0,6.227524324,7.704247008,1,3,1,0,0,2,-4.496567873,219.5483404,1
"2444",18,41,3,1,0,0,15.99492119,6.363252207,1,4.039042783,3.955221478,0,3,11,4,1,0,0.447787046,0.796440182,4.284402693,12.54847184,0,6.38777328,9.904949357,0,4,0,1,0,2,-5.231296737,353.1593234,1
"2445",18,45,3,1,1,0,31.97207228,4.900548334,1,4.02197894,3.908998411,0,3,11,4,1,0,0.566386801,0.975517895,4.275846419,16.187902,0,6.442241555,10.17555695,1,3,0,0,0,1,-4.512982434,259.8481213,1
"2446",18,51,3,2,0,0,15.99592928,4.815002239,1,4.046508049,3.937544862,0,3,11,4,0,0,0.695275084,0.861647578,4.908450059,13.03721848,0,6.490581263,8.991881762,1,3,0,0,0,1,-6.714306097,312.080563,1
"2447",18,45,3,1,1,0,31.97207228,4.838040154,1,4.027106573,3.906142139,0,3,11,4,1,0,0.567835474,0.975517895,4.323958941,16.187902,0,6.432789358,9.615134428,1,3,0,0,0,1,-7.957146582,312.325992,1
"2448",12,42,2,1,1,0,31.97207208,4.889588771,1,4.032455815,3.827692138,0,0,9,3,2,0,0.382821511,1.001906183,3.798361325,15.88755167,0,6.132584263,9.843835449,0,3,0,0,0,1,-5.622902358,211.0430651,1
"2449",18,51,3,2,0,0,15.99592928,4.815002239,1,4.046508049,3.937544862,0,3,11,4,0,0,0.695275084,0.861647578,4.908450059,13.03721848,0,6.490581263,8.991881762,1,3,0,0,0,1,-6.714306097,312.080563,1
"2450",12,42,2,1,1,0,31.97207208,4.891296678,1,4.032796407,3.841055564,0,1,9,3,3,0,0.382821511,0.935079393,3.798361325,15.88755167,0,6.132584263,9.843835449,0,3,0,0,0,1,-5.622902358,211.0430651,1
"2451",18,40,4,0,1,0,31.97207218,6.049573261,1,4.034048592,3.928178034,0,3,9,4,1,0,0.447787046,1.392276736,4.284402693,15.56025927,0,6.38777328,9.904949357,0,4,0,1,0,2,-5.231296737,353.1593234,1
