,HD,HA,logP,MW,sum,bioactivity_class,molecule_chembl_id,canonical_smiles,Molecular Weight,Number of Hydrogen Donors,Number of Hydrogen Acceptors,OWPC,pIC50
1674,0,0,0,0,0,inactive,CHEMBL1221454,CC(C)C[C@@H](CC(=O)NCc1cccc(F)c1)n1c(N)nc2cc(Cl)ccc21,402.901,2,4,4.7047,4.26760624
1676,0,0,0,0,0,inactive,CHEMBL1208803,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2ccccc2)CCCCC1,416.512,3,3,3.8221,5
1677,0,0,0,1,1,active,CHEMBL571860,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCCC1,472.62,3,3,5.1196,7.327902142
1679,0,0,0,1,1,active,CHEMBL1257531,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(F)cc(C(C)(C)C)c2)CCCCC1,490.61,3,3,5.2587,7.337242168
1680,0,0,0,1,1,active,CHEMBL1257772,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C)cc(C(C)(C)C)c2)CCCCC1,486.647,3,3,5.42802,6.744727495
1681,0,0,0,0,0,active,CHEMBL1257891,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(O)cc(C(C)(C)C)c2)CCCCC1,488.619,4,4,4.8252,6.769551079
1682,0,0,0,0,0,active,CHEMBL1257892,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(N)cc(C(C)(C)C)c2)CCCCC1,487.635,4,4,4.7018,6.49757288
1683,0,0,1,0,1,active,CHEMBL1258001,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(NS(C)(=O)=O)cc(C(C)(C)C)c2)CCCCC1,565.727,4,5,4.4911,7.031517051
1684,0,0,0,0,0,inactive,CHEMBL1258233,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccs2)CCCCC1,422.541,3,4,3.8836,4.522878745
1686,0,0,0,1,1,active,CHEMBL1258352,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2csc(C(C)C)c2)CCCCC1,464.622,3,4,5.007,6.494850022
1687,0,0,0,1,1,active,CHEMBL1258353,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C(C)C)cs2)CCCCC1,464.622,3,4,5.007,6.453457337
1688,0,0,0,1,1,active,CHEMBL1258466,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C(C)(C)C)cs2)CCCCC1,478.649,3,4,5.1811,6.982966661
1689,0,0,0,1,1,active,CHEMBL1258467,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(CC(C)(C)C)cs2)CCCCC1,492.676,3,4,5.4722,6.882728704
1693,0,0,0,0,0,active,CHEMBL1258687,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(CC(C)(C)C)no2)CCCCC1,477.596,3,5,4.3987,6.8569852
1695,0,0,0,0,0,inactive,CHEMBL1258803,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2nc(C(C)(C)C)co2)CCCCC1,463.569,3,5,4.1076,3.860750782
1697,0,0,0,0,0,active,CHEMBL1258918,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cnn(CC(C)(C)C)c2)CCCCC1,476.612,3,5,4.0647,6.677780705
1698,0,0,0,0,0,active,CHEMBL1257184,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cn(C[Si](C)(C)C)nn2)CCCCC1,493.675,3,6,3.291,6.812479279
1699,0,0,1,0,1,active,CHEMBL1257185,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cn(C34CC5CC(CC(C5)C3)C4)nn2)CCCCC1,541.687,3,6,4.3389,6.406713933
1701,0,0,0,0,0,active,CHEMBL1257303,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CC1,430.539,3,3,3.9493,6.853871964
1702,0,0,0,0,0,active,CHEMBL1257417,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(CC(C)(C)C)c2)CC1,444.566,3,3,4.2404,6.467245621
1703,0,0,0,0,0,active,CHEMBL1257418,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C(C)(C)C)ccn2)CC1,431.527,3,4,3.3443,6.193820026
1704,0,0,0,0,0,active,CHEMBL1257532,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cncc(CC(C)(C)C)c2)CC1,445.554,3,4,3.6354,6.107905397
1705,0,0,0,0,0,active,CHEMBL1257533,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(CC(C)(C)C)c[n+]([O-])c2)CC1,461.553,3,4,2.8738,6.142667504
1707,0,0,0,0,0,active,CHEMBL1230648,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(CC(C)(C)C)cs2)CC1,450.595,3,4,4.3019,6.327902142
1709,0,0,0,0,0,inactive,CHEMBL1257775,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2nc(C(C)(C)C)co2)CC1,421.488,3,5,2.9373,4.367745223
1712,0,0,0,0,0,active,CHEMBL1258002,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cnn(CC(C)(C)C)c2)CC1,434.531,3,5,2.8944,6.460923901
1713,0,0,0,0,0,active,CHEMBL1258003,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2ccn(CC(C)(C)C)n2)CC1,434.531,3,5,2.8944,6.060480747
1714,0,0,0,0,0,active,CHEMBL1258121,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cn(CC(C)(C)C)nn2)CC1,435.519,3,6,2.2894,6.346787486
1716,0,0,0,0,0,active,CHEMBL1270458,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCC1,444.566,3,3,4.3394,6.214670165
1717,0,0,0,0,0,active,CHEMBL1270363,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(CF)CF)c2)CC1,466.519,3,3,3.8485,6.408935393
1718,0,0,0,0,0,active,CHEMBL1270362,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C(F)F)c2)CC1,466.519,3,3,4.1945,6.638272164
1719,0,0,0,0,0,active,CHEMBL1270263,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)CF)c2)CC1,448.529,3,3,3.8989,6.537602002
1721,0,0,0,0,0,active,CHEMBL1270164,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C3CCOC3)c2)CC1,444.522,3,4,3.1557,6.119186408
1722,0,0,0,0,0,active,CHEMBL1270163,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CC1,440.494,3,5,2.8375,6.008773924
1723,0,0,0,0,0,active,CHEMBL1258002,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cnn(CC(C)(C)C)c2)CC1,434.531,3,5,2.8944,6.455931956
1724,0,0,0,0,0,active,CHEMBL1257303,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CC1,430.539,3,3,3.9493,6.853871964
1725,0,0,0,0,0,active,CHEMBL1269949,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC(C)(C)c1cccc(C(C)(C)C)c1,432.555,3,3,4.1953,6.698970004
1727,0,0,0,0,0,active,CHEMBL1269841,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C3CCOC3)c2)CCOCC1,488.575,3,5,3.1723,6.537602002
1728,0,0,0,0,0,active,CHEMBL1269840,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CCOCC1,484.547,3,6,2.8541,6.958607315
1729,0,0,0,0,0,active,CHEMBL1209106,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C3CCOC3)c2)CCCCC1,486.603,3,4,4.326,7.055517328
1730,0,0,0,0,0,active,CHEMBL572081,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CCCCC1,482.575,3,5,4.0078,7.229147988
1732,0,0,0,0,0,active,CHEMBL570556,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCOCC1,474.592,3,4,3.9659,7.214670165
1733,0,0,0,1,1,active,CHEMBL571860,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCCC1,472.62,3,3,5.1196,7.327902142
1737,0,0,0,0,0,active,CHEMBL1271140,CN1C(=O)[C@@](c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)N=C1N,444.388,1,5,3.8166,7.22184875
1738,0,0,0,0,0,inactive,CHEMBL582044,NC1=NC(c2ccccc2)(c2ccccc2)C2=NCCCN12,290.37,1,4,2.3627,4.420216403
1740,0,0,0,0,0,active,CHEMBL584695,COc1ccc([C@]2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc1C,422.435,1,5,3.37412,8
1741,0,0,0,0,0,active,CHEMBL568115,CN1C(=O)[C@@](c2ccc(OC(F)(F)F)cc2)(c2ccc(F)c(-c3cncnc3)c2)N=C1N,445.376,1,6,3.2116,7.698970004
1742,0,0,0,0,0,active,CHEMBL1271244,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(-c3cccnc3F)c2)N=C1N,426.398,1,5,3.5194,8
1743,0,0,0,0,0,active,CHEMBL1271343,CN1C(=O)[C@](c2ccccc2)(c2ccc(OC(F)F)cc2)N=C1N,331.322,1,4,2.3183,6.769551079
1744,0,0,0,0,0,active,CHEMBL1271344,COc1ccc([C@]2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc1,390.418,1,5,2.9266,7.522878745
1745,0,0,0,0,0,active,CHEMBL1271450,CN1C(=O)[C@@](c2ccc(OCCF)cc2)(c2cccc(-c3cccnc3F)c2)N=C1N,422.435,1,5,3.2663,7.522878745
1748,0,0,0,0,0,active,CHEMBL1269919,CCc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,359.376,1,4,2.8807,6.045757491
1749,0,0,0,0,0,active,CHEMBL1270026,CCCc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,373.403,1,4,3.2708,7.045757491
1750,0,0,0,0,0,active,CHEMBL1270727,CCCCc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,387.43,1,4,3.6609,7.522878745
1751,0,0,0,0,0,active,CHEMBL1270027,CCCCCc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,401.457,1,4,4.051,7.045757491
1752,0,0,0,0,0,active,CHEMBL1270133,CCC(C)Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,401.457,1,4,3.9069,6.958607315
1753,0,0,0,0,0,active,CHEMBL1270134,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(CCCC(F)(F)F)c2)N=C1N,441.4,1,4,4.2033,7.22184875
1754,0,0,0,0,0,active,CHEMBL1270238,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(CCCC#N)c2)N=C1N,398.413,1,5,3.16458,7.301029996
1755,0,0,0,0,0,active,CHEMBL1270239,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C(=O)CCCF)c2)N=C1N,419.403,1,5,3.2507,7.096910013
1756,0,0,0,0,0,active,CHEMBL1270336,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C(F)CCCF)c2)N=C1N,423.41,1,4,4.0786,7.096910013
1757,0,0,0,0,0,active,CHEMBL1270337,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(/C=C/CCF)c2)N=C1N,403.404,1,4,3.6911,7.397940009
1758,0,0,0,0,0,active,CHEMBL1270433,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(/C=C/CC(F)F)c2)N=C1N,421.394,1,4,3.9867,7.522878745
1759,0,0,0,0,0,active,CHEMBL1270434,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(/C=C/C3CC3)c2)N=C1N,397.425,1,4,3.7415,7.045757491
1760,0,0,0,0,0,active,CHEMBL1270527,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(/C(F)=C\C3CC3)c2)N=C1N,415.415,1,4,4.0387,7.698970004
1761,0,0,0,0,0,active,CHEMBL1270528,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(/C(F)=C/C3CC3)c2)N=C1N,415.415,1,4,4.0387,6.26760624
1762,0,0,0,0,0,active,CHEMBL1270628,COC/C=C/c1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,401.413,1,5,2.9779,7.698970004
1763,0,0,0,0,0,active,CHEMBL1270629,COCC/C=C/c1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,415.44,1,5,3.368,7.698970004
1764,0,0,0,0,0,active,CHEMBL1270729,COCCC/C=C/c1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,429.467,1,5,3.7581,7.301029996
1765,0,0,0,0,0,active,CHEMBL1270730,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(/C=C/CCO)c2)N=C1N,401.413,2,5,2.7139,7.301029996
1766,0,0,0,0,0,active,CHEMBL1270832,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(/C=C/CCCO)c2)N=C1N,415.44,2,5,3.104,7.397940009
1767,0,0,0,0,0,active,CHEMBL1270833,C#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,355.344,1,4,2.2996,6.585026652
1768,0,0,0,0,0,active,CHEMBL1270934,CC#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,369.371,1,4,2.6897,7.698970004
1769,0,0,0,0,0,active,CHEMBL1270934,CC#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,369.371,1,4,2.6897,7.657577319
1770,0,0,0,0,0,active,CHEMBL1270935,CCC#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,383.398,1,4,3.0798,7.397940009
1771,0,0,0,0,0,active,CHEMBL1271036,CCCC#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,397.425,1,4,3.4699,7.522878745
1772,0,0,0,0,0,active,CHEMBL1271037,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CCF)c2)N=C1N,387.361,1,4,2.6393,8
1773,0,0,0,0,0,active,CHEMBL1271141,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CCCF)c2)N=C1N,401.388,1,4,3.0294,8
1774,0,0,0,0,0,active,CHEMBL1271142,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CCCCCF)c2)N=C1N,429.442,1,4,3.8096,7.397940009
1775,0,0,0,0,0,active,CHEMBL1271245,CC(C)C#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,397.425,1,4,3.3258,7.698970004
1776,0,0,0,0,0,active,CHEMBL1271246,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CC3CC3)c2)N=C1N,395.409,1,4,3.0798,7.698970004
1777,0,0,0,0,0,active,CHEMBL1271246,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CC3CC3)c2)N=C1N,395.409,1,4,3.0798,7.602059991
1778,0,0,0,0,0,active,CHEMBL1271345,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CC3CCCCC3)c2)N=C1N,437.49,1,4,4.2501,6.48148606
1779,0,0,0,0,0,active,CHEMBL1271346,COCC#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,399.397,1,5,2.3162,7.698970004
1780,0,0,0,0,0,active,CHEMBL1271452,COCCC#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,413.424,1,5,2.7063,7.698970004
1781,0,0,0,0,0,active,CHEMBL1271453,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CCCO)c2)N=C1N,399.397,2,5,2.0522,8
1782,0,0,0,0,0,active,CHEMBL1269920,C[C@@H](O)C#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,399.397,2,5,2.0506,7.698970004
1783,0,0,0,0,0,active,CHEMBL1269921,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CCCCCO)c2)N=C1N,427.451,2,5,2.8324,8
1784,0,0,0,0,0,active,CHEMBL1270028,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(OCCF)c2)N=C1N,411.355,1,5,2.8057,6.920818754
1785,0,0,0,0,0,active,CHEMBL1270029,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(OCCCF)c2)N=C1N,425.382,1,5,3.1958,8
1786,0,0,0,0,0,active,CHEMBL1270135,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(OCCCCF)c2)N=C1N,439.409,1,5,3.5859,7
1787,0,0,0,0,0,active,CHEMBL1270136,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(OCCC(F)(F)F)c2)N=C1N,443.372,1,5,3.6495,6.698970004
1788,0,0,0,0,0,active,CHEMBL1270240,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(OCC3CC3)c2)N=C1N,401.413,1,5,3.1071,7.698970004
1789,0,0,0,0,0,active,CHEMBL1270241,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(OC(F)F)c2)N=C1N,397.328,1,5,2.9197,6.698970004
1790,0,0,0,0,0,active,CHEMBL1270338,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(OCC(F)F)c2)N=C1N,411.355,1,5,2.9622,7.522878745
1791,0,0,0,0,0,active,CHEMBL1270339,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(OCC(F)F)c2)N=C1N,429.345,1,5,3.1013,7.15490196
1792,0,0,0,0,0,active,CHEMBL1270435,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(OCCC(F)F)c2)N=C1N,425.382,1,5,3.3523,8
1793,0,0,0,0,0,active,CHEMBL1270436,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(OCCC=C(F)F)c2)N=C1N,455.383,1,5,4.0067,7.522878745
1794,0,0,0,0,0,active,CHEMBL1270529,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(OCCC=C(F)F)c2)N=C1N,437.393,1,5,3.8676,7.522878745
1795,0,0,0,0,0,active,CHEMBL1270334,COCC#Cc1cc([C@@]2(c3ccc(OC(F)F)c(C)c3)N=C(N)N(C)C2=O)ccc1F,431.414,1,5,2.76372,7.886056648
1796,0,0,0,0,0,active,CHEMBL1270335,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(C#CC3CC3)c2)N=C1N,413.399,1,4,3.2189,7.698970004
1797,0,0,0,0,0,active,CHEMBL1270335,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(C#CC3CC3)c2)N=C1N,413.399,1,4,3.2189,7.619788758
1798,0,0,0,0,0,active,CHEMBL1270431,Cc1cc([C@]2(c3ccccc3)N=C(N)N(C)C2=O)ccc1OC(F)F,345.349,1,4,2.62672,7.096910013
1799,0,0,0,0,0,active,CHEMBL1270432,Cc1cc([C@]2(c3ccc(F)c(C#CC4CC4)c3)N=C(N)N(C)C2=O)ccc1OC(F)F,427.426,1,4,3.52732,7.698970004
1800,0,0,0,0,0,active,CHEMBL1270432,Cc1cc([C@]2(c3ccc(F)c(C#CC4CC4)c3)N=C(N)N(C)C2=O)ccc1OC(F)F,427.426,1,4,3.52732,7.677780705
1801,0,0,0,0,0,active,CHEMBL1270526,COCC#Cc1cc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)ccc1F,417.387,1,5,2.4553,7.920818754
1802,0,0,0,0,0,active,CHEMBL1270530,Cc1cc([C@]2(c3ccc(F)c(OCC(F)F)c3)N=C(N)N(C)C2=O)ccc1OC(F)F,443.372,1,5,3.40972,7.15490196
1803,0,0,0,0,0,active,CHEMBL1270630,Cc1cc([C@]2(c3cccc(C#CC4CC4)c3)N=C(N)N(C)C2=O)ccc1OC(F)F,409.436,1,4,3.38822,7.823908741
1804,0,0,0,0,0,active,CHEMBL1270630,Cc1cc([C@]2(c3cccc(C#CC4CC4)c3)N=C(N)N(C)C2=O)ccc1OC(F)F,409.436,1,4,3.38822,7.657577319
1805,0,0,0,0,0,active,CHEMBL1270631,Cc1cc([C@]2(c3ccc(F)c(C#CCF)c3)N=C(N)N(C)C2=O)ccc1OC(F)F,419.378,1,4,3.08682,7.698970004
1806,0,0,0,0,0,active,CHEMBL1270834,CCCC#Cc1cc([C@@]2(c3ccc(OC(F)F)c(C)c3)N=C(N)N(C)C2=O)ccc1F,429.442,1,4,3.91742,7.522878745
1807,0,0,0,0,0,active,CHEMBL1270834,CCCC#Cc1cc([C@@]2(c3ccc(OC(F)F)c(C)c3)N=C(N)N(C)C2=O)ccc1F,429.442,1,4,3.91742,7.552841969
1808,0,0,0,0,0,active,CHEMBL1270835,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(C#CCCCF)c2)N=C1N,433.405,1,4,3.5586,7.853871964
1809,0,0,0,0,0,active,CHEMBL1270835,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(C#CCCCF)c2)N=C1N,433.405,1,4,3.5586,7.494850022
1810,0,0,0,0,0,active,CHEMBL1270936,CC#Cc1cc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)ccc1F,387.361,1,4,2.8288,7.387216143
1815,0,0,1,0,1,active,CHEMBL1644462,CC(C)S[C@H](NC(=O)[C@@H](C[C@H](O)[C@@H]1COCc2cccc(c2)C(C)NC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N1)C(C)C)C(=O)NCc1ccccc1,796.025,5,9,4.1255,7.301029996
1817,0,0,1,0,1,inactive,CHEMBL1644465,CNC(=O)[C@@H](C[C@H](O)[C@@H]1COCc2cccc(c2)C(c2ccccc2)NC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N1)C(C)C,650.798,4,7,2.9996,5
1820,0,0,1,0,1,inactive,CHEMBL1644468,COCCOC1NC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N[C@H]([C@@H](O)C[C@H](C(=O)NCC(C)C)C(C)C)COCc2cccc1c2,690.86,4,9,2.598,5
1821,0,0,1,0,1,inactive,CHEMBL1644469,COCCOC1CCCc2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N[C@H]([C@@H](O)C[C@H](C(=O)NCC(C)C)C(C)C)COCc2cccc1c2,689.916,3,8,4.2334,5
1824,0,0,0,0,0,inactive,CHEMBL56002,NC1=NC(c2ccccc2)(c2ccccc2)C(=O)N1,251.289,2,3,1.3747,4.698999972
1830,0,0,0,0,0,active,CHEMBL566198,CCOc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1,367.493,1,4,3.2837,6.480999397
1831,0,0,0,0,0,active,CHEMBL585286,CCCCOc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1,395.547,1,4,4.0639,6.06000179
1832,0,0,0,0,0,active,CHEMBL583899,CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(C23CC4CC(CC(C4)C2)C3)N=C1N,407.436,1,4,3.7836,6.328003797
1833,0,0,0,0,0,active,CHEMBL584694,COc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1,353.466,1,4,2.8936,6.552997102
1834,0,0,0,0,0,active,CHEMBL567485,COc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1OC,383.492,1,5,2.9022,6.569006348
1835,0,0,0,0,0,active,CHEMBL566200,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C,386.455,1,5,3.09592,7.398048596
1836,0,0,0,0,0,active,CHEMBL566403,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1OC,402.454,1,6,2.7961,7.045998832
1837,0,0,0,0,0,active,CHEMBL566406,CCOc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccc1OC,416.481,1,6,3.1862,7.301029996
1838,0,0,0,0,0,active,CHEMBL566407,CCCOc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccc1OC,430.508,1,6,3.5763,7.301029996
1839,0,0,0,0,0,active,CHEMBL567061,CCCCOc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccc1OC,444.535,1,6,3.9664,7.301029996
1840,0,0,0,0,0,active,CHEMBL567687,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1OC(C)C,430.508,1,6,3.5747,7.221993539
1841,0,0,0,0,0,active,CHEMBL566638,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1OC1CCCC1,456.546,1,6,4.1089,7.155026062
1842,0,0,0,0,0,active,CHEMBL565790,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C1CCCC1,440.547,1,5,4.4451,6.920999748
1843,0,0,0,0,0,active,CHEMBL566223,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1F,390.418,1,5,2.9266,7.301029996
1844,0,0,0,0,0,active,CHEMBL565996,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1Cl,406.873,1,5,3.4409,7.444059562
1845,0,0,0,0,0,active,CHEMBL585289,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C(F)(F)F,440.425,1,5,3.8063,7.398048596
