"","naAromAtom","nAtom","nN","nCl","BCUTw.1h","BCUTp.1l","BCUTp.1h","nBondsD","SpMax1_Bhs","SpMax2_Bhs","C2SP1","C1SP2","C2SP2","C3SP2","C1SP3","C3SP3","C4SP3","SCH.7","SC.3","VC.3","SPC.4","MIC0","nAtomLAC","piPC6","R_TpiPCTPC","n5Ring","n6Ring","nF9Ring","nF10Ring","nHeteroRing","n6HeteroRing","VE3_D","VR1_D","pIC50"
"4176",6,64,3,0,19.0006093026705,3.54429155069136,13.9050860380869,2,5.51612218566257,5.0157958042382,0,1,3,3,4,2,1,1.40622067003583,3.00479966286581,1.84091989996709,6.92981165403946,15.2299691411978,4,6.18414889093748,3.19626313606195,2,2,1,0,1,0,-3.80610247896861,386.459695904435,8.04575749056067
"4177",6,64,3,0,19.0012620802854,3.49857423556104,13.8993986441271,2,5.72552595955628,5.0235988030338,0,1,3,3,4,2,1,1.40249915347429,4.15721154418177,1.96111905965574,7.29595579095188,16.2006035217187,4,6.19440539110467,3.15445383182544,2,2,1,0,1,0,-4.18419888435092,382.833108095544,7.11350927482752
"4178",6,68,3,0,15.9987176136938,4.52752525208818,13.9851640837928,2,4.96807463320207,4.0403330197528,0,1,3,3,4,2,1,1.41246358313004,2.59655137240195,1.78259871561511,6.71176701837704,12.8091237456454,4,6.18620862390049,3.1995353549469,2,2,1,0,1,0,-4.16175332866034,374.219997203735,8.04575749056067
"4179",6,64,3,0,15.9959297805764,4.90397774567996,13.9164608262786,2,4.95554494362864,4.03571909190933,0,1,3,3,4,2,1,1.42655541469052,2.59655137240195,1.78259871561511,6.75162473700006,12.2447781161516,4,6.16331480403464,3.28645521270222,2,2,1,0,1,0,-3.39104599189702,489.252133812695,8.09691001300806
"4180",6,61,3,0,15.9959293021137,4.90152217437837,13.7592735301553,2,4.94243566374483,4.03114601260192,0,1,3,3,2,2,1,1.43977097282497,2.65291869864387,1.81534517298589,6.91416913793768,12.4287651434212,4,6.13339804299665,3.33062024714829,2,2,1,0,1,0,-3.39035765797537,438.559862302085,8
"4181",12,59,3,0,15.9969373980045,4.88548536795533,12.7339729970408,1,4.09481459776614,3.93724217331035,0,0,9,3,1,0,1,1.38019464241048,2.39353316117723,1.37699314220029,6.40685424805592,13.3973735006849,0,6.14860183400959,3.6623649691358,2,3,1,0,1,0,-3.02724967877394,412.020940264939,6.05060999335509
"4182",12,59,3,0,15.996937349902,4.89580783456026,12.9479156850936,1,4.225947381056,4.12112217213279,0,0,8,4,1,1,1,1.46853284331042,3.52572498523324,1.98598871336327,7.64749249637445,13.3973735006849,0,6.60639677571411,6.5007233012994,2,3,1,0,1,0,-4.21082606570239,320.544230913734,6.05695088899159
"4183",6,52,3,0,19.0014205549049,3.06217150878906,12.6990238298246,1,5.7630245017337,5.3489537604084,0,0,4,2,2,0,1,1.33427435515682,3.94831396955537,1.48310101195707,7.26369926478672,19.4236669282436,2,6.16173460881512,3.22126985339035,2,2,1,0,1,0,-4.20060847734573,359.601229290018,7.27572413039921
"4184",6,58,3,0,15.9979449172847,4.11800788824576,13.9276953962497,3,4.99184698008128,4.89376258132707,2,2,3,3,1,2,1,1.52407180023359,2.80067551763388,1.54871991802101,6.78547408674205,14.1893861510706,2,6.38223893980614,4.41174009105517,2,2,1,0,1,0,-3.79827151622638,396.074511178387,8.30102999566398
"4185",11,55,4,0,19.000136731252,3.58973381978432,13.9003671147606,2,5.18454528206492,4.9427216045997,0,4,3,3,2,1,1,1.52148590096125,2.31751227003949,1.38547617474558,6.9377485752389,16.3754803295612,2,6.57794828022968,5.63936221227621,3,2,1,0,2,0,-6.20028187814472,341.394793156846,6.89279003035213
"4186",11,55,4,0,31.9720725295033,3.59505192471394,14.0701174290522,2,5.18454527728315,4.94271552782054,0,4,3,3,2,1,1,1.52148590096125,2.31751227003949,1.47676326766311,6.9377485752389,18.8560963044126,2,6.57794828022968,5.63936221227621,3,2,1,0,2,0,-6.20028187814472,341.394793156846,6.93930215964639
"4187",6,52,3,1,34.9688538008622,4.90534412880337,14.0037726326917,2,4.94663821087064,4.0254438939299,0,1,4,2,2,1,1,1.44976982358858,2.58121575225746,1.68917320213784,6.76595704351855,16.9161218678188,0,6.10339716908619,3.19478336653386,2,2,1,0,1,0,-4.2501791316156,321.108486521137,6.77211329538633
"4188",11,58,4,0,31.9720727343842,3.50418188036115,14.0783913839311,2,5.65508013359654,4.96472481666689,0,3,4,3,3,1,1,1.55793676771666,4.16684757641412,2.00883700229702,7.87110207437951,20.7107588666038,2,6.63257802766883,5.64531393612132,3,2,1,0,2,0,-6.00752343124493,392.523535446847,6.49485002168009
"4189",6,57,3,0,18.9994131524275,3.08787255859375,13.8025076736638,2,5.52149486065007,5.0140934673864,0,1,4,2,2,1,1,1.41246358313004,2.59655137240195,1.35821242818253,6.6323077070781,17.5380987233205,2,6.18620862390049,3.21467776203966,2,2,1,0,1,0,-7.07529167150511,377.665311124275,6.89279003035213
"4190",6,60,3,0,15.9987163679927,4.52714423273555,13.9609762665754,2,5.0373691026643,4.07355607225916,0,1,3,3,2,2,1,1.63208978166522,2.31751227003949,1.49706190711583,6.70204631484339,13.3418462923344,2,6.23367516113942,3.25463524811219,2,2,1,0,1,0,-6.54266784658812,457.21730042321,6.76447155309245
"4191",6,53,3,1,34.9688538537722,4.52642354048906,13.9152884792092,2,4.98255782491961,4.03822241209208,0,1,4,2,2,1,1,1.43239244244155,2.27285407130097,1.4454815314581,6.38735643088826,17.6887118957683,2,6.0966688005575,3.14231363932292,2,2,1,0,1,0,-6.81285923850934,648.845804097268,7.05551732784983
"4192",6,53,3,1,34.9688538537241,4.31167238458127,13.7176348336239,2,4.98297922307154,4.03839929864859,0,1,4,2,2,1,1,1.45969983213648,2.32922139754289,1.47822798882888,6.52997197251437,17.6887118957683,2,6.05297113282107,3.10740312071331,2,2,1,0,1,0,-1.69121042773618,300.168397434005,6.21183162885883
"4193",6,52,2,0,78.9185182701212,4.91889895650388,14.8711469004449,1,4.06374787699853,3.83347748424127,0,0,4,2,2,2,1,1.09566841077184,3.2983374002985,3.46365456028921,6.07718922634381,23.298381066678,0,5.97221801516212,2.98879716981132,1,3,1,0,1,1,-3.60816463988889,268.878611910672,5.61261017366127
