,bioactivity_class,molecule_chembl_id,canonical_smiles,Molecular Weight,Number of Hydrogen Donors,Number of Hydrogen Acceptors,OWPC,pIC50
2094,inactive,CHEMBL1163649,Oc1ccc(-c2ccccc2)cc1CN1CCN(Cc2cc(-c3ccccc3)ccc2O)CC1,450.58200000000016,2.0,4.0,5.749600000000006,3.999999999999999
2095,inactive,CHEMBL1163648,CCN1CCN(CCNC(=O)c2ccc3c(=O)n(Cc4ccc(Cl)cc4)c(=S)[nH]c3c2)CC1,486.0410000000003,2.0,6.0,3.128090000000001,3.999999999999999
2096,inactive,CHEMBL1163651,CSc1ccc(C(O)C(CO)NC(=O)c2cc3c(n(-c4ccc(Cl)cc4)c2=O)CC(C)(C)CC3=O)cc1,541.0690000000003,3.0,7.0,4.1922000000000015,3.999999999999999
2097,inactive,CHEMBL1163700,CCOc1cc(C2C(C(=O)OCc3ccccc3)=C(C)NC3=C2C(=O)CC(C)(C)C3)cc(Br)c1O,540.4540000000003,2.0,6.0,5.900800000000007,3.999999999999999
2098,inactive,CHEMBL1163703,Cc1cccc(N(C)S(=O)(=O)c2ccc3[nH]cc(C(=O)NCCN4CCOCC4)c(=O)c3c2)c1,484.5780000000004,2.0,6.0,1.7236199999999997,3.999999999999999
2099,inactive,CHEMBL1164238,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)C(NS(=O)(=O)c1cccs1)c1ccccc1,474.9130000000001,2.0,4.0,5.078600000000002,3.999999999999999
2100,inactive,CHEMBL1164239,CCSc1scc(CC)c1C1C(C(=O)Nc2ccc(Br)cn2)=C(C)NC2=C1C(=O)CC(C)(C)C2,560.5830000000002,2.0,6.0,6.822700000000005,3.999999999999999
2101,inactive,CHEMBL1163218,O=C(Nc1ccc(Cl)cc1C(=O)c1ccccc1)c1ccc(Nc2nc(-c3ccccc3)c3cc(Br)ccc3n2)cc1,633.9330000000001,2.0,5.0,8.939599999999997,3.999999999999999
2102,inactive,CHEMBL1164329,Cc1ccc(NC(=O)c2cc(NC(=O)CCCC(=O)O)ccc2N2CCOCC2)cc1,425.4850000000001,3.0,5.0,3.2773200000000022,3.301029995663981
2103,inactive,CHEMBL1164432,O=C(O)CCCNC(=O)CCCCC(=O)C(c1ccccc1)c1ccccc1,381.472,2.0,3.0,3.929000000000003,3.301029995663981
2104,inactive,CHEMBL1164433,CCCc1cc(=O)oc2cc(OCC(=O)NCC(=O)NCC(=O)O)ccc12,376.36500000000007,3.0,6.0,0.44130000000000136,3.301029995663981
2105,inactive,CHEMBL1164242,Cc1oc(-c2ccccc2)cc1C(=O)NCC(=O)NC(C(=O)O)C(C)C,358.39400000000006,3.0,4.0,2.21022,3.301029995663981
2106,inactive,CHEMBL1164332,COc1ccc(C(=O)Nc2ccccc2C(=O)NC(CCSC)C(=O)NNC(=O)Sc2nc3ccccc3s2)cc1,609.7550000000002,4.0,9.0,4.941800000000003,4.30102999566398
2107,inactive,CHEMBL1164333,CC(C)C(NC(=O)CNC(=O)CNC(=O)OCc1ccccc1)C(=O)O,365.38599999999997,4.0,5.0,0.25440000000000146,3.301029995663981
2108,inactive,CHEMBL1164743,O=C(Nc1ccccc1C(=O)NCC(O)CNC(=O)c1ccccc1NC(=O)c1ccccc1)c1ccccc1,536.5880000000002,5.0,5.0,3.7119000000000013,3.999999999999999
2109,inactive,CHEMBL1163708,COc1cc(/C=N\NC(=O)c2ccccc2OCCOc2ccccc2)cc(Br)c1O,485.3340000000002,2.0,6.0,4.385000000000004,3.301029995663981
2110,inactive,CHEMBL1164434,COc1cccc(C(=O)OCC(=O)NCc2ccc(Cl)cc2Cl)c1O,384.215,2.0,5.0,3.180800000000002,3.301029995663981
2111,inactive,CHEMBL1163234,CC(C)(C)OC(=O)NC(CC(=O)OCc1ccccc1)C(=O)NC(COCc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,647.7250000000001,3.0,9.0,3.5744000000000016,3.999999999999999
2112,inactive,CHEMBL1164435,CCOc1cc(/C=N\NC(=O)COc2ccc(C)cc2)cc(I)c1O,454.264,2.0,5.0,3.233020000000002,3.999999999999999
2113,inactive,CHEMBL1164946,CC(NC(=O)NCCNC(=O)NC(C)C(=O)O)C(=O)O,290.27600000000007,6.0,4.0,-1.4689999999999968,3.301029995663981
2114,min effect,CHEMBL1163225,O=C(C[n+]1ccccc1)Nc1cccc(C(=O)Nc2ccc(Cl)cc2)c1.[Cl-],402.281,2.0,2.0,0.5224999999999997,5.999999999999999
2115,min effect,CHEMBL1164437,COc1ccc(NC(=O)c2cccc(NC(=O)C[n+]3ccccc3)c2)cc1.[Cl-],397.86200000000014,2.0,3.0,-0.1222999999999994,5.431798275933004
2116,inactive,CHEMBL1164640,Cc1ccc(C(=O)Nc2cccc(NC(=O)C[n+]3ccccc3)c2)cc1.[Cl-],381.86300000000006,2.0,2.0,0.17752000000000054,4.886056647693163
2117,inactive,CHEMBL1164543,NC(=O)c1ccc[n+](CC(=O)Nc2cccc(C(=O)Nc3ccc(Cl)cc3)c2)c1.[Cl-],445.306,3.0,3.0,-0.3786000000000001,4.519993057042849
2118,min effect,CHEMBL1164643,COc1ccc(NC(=O)c2cccc(NC(=O)C[n+]3cccc(C(N)=O)c3)c2)cc1.[Cl-],440.88700000000017,3.0,4.0,-1.0233999999999979,5.721246399047171
2119,inactive,CHEMBL1164644,NC(=O)c1ccc[n+](CC(=O)Nc2cccc(NC(=O)c3ccccc3)c2)c1.[Cl-],410.86100000000016,3.0,3.0,-1.031999999999999,4.349692476868063
2120,min effect,CHEMBL1163776,Cc1ccc(NC(=O)c2cccc(NC(=O)C[n+]3cccc(C(=O)NCCc4ccccc4)c3)c2)cc1.[Cl-],529.0400000000002,3.0,3.0,1.1500200000000012,5.397940008672037
2121,inactive,CHEMBL1163845,O=C(C[n+]1cccc(C(=O)NCCc2ccccc2)c1)Nc1cccc(C(=O)Nc2ccc(Cl)cc2)c1.[Cl-],549.4580000000002,3.0,3.0,1.494999999999999,4.920818753952375
2122,min effect,CHEMBL1164187,Cc1ccc(C(=O)Nc2cccc(NC(=O)C[n+]3cccc(C(=O)NCCc4ccccc4)c3)c2)cc1.[Cl-],529.0400000000002,3.0,3.0,1.1500200000000012,5.657577319177793
2123,min effect,CHEMBL1788375,Br.CS(=O)(=O)N(c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c1)c1ccccn1,693.5860000000004,3.0,6.0,5.267800000000005,5.340083799930149
2124,active,CHEMBL1210358,CS(=O)(=O)N(c1cccnc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c1,612.6740000000002,3.0,6.0,4.689900000000004,7.67778070526608
2125,active,CHEMBL1210357,CS(=O)(=O)N(c1ccncc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c1.Cl,649.1350000000002,3.0,6.0,5.111700000000006,7.823908740944318
2126,min effect,CHEMBL1210356,Cc1ccc(N(c2ccccc2)S(C)(=O)=O)cc1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(C(F)(F)F)c1,625.7130000000004,3.0,5.0,5.6033200000000045,5.459670525209126
2127,active,CHEMBL1210355,Cc1ccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc1N(c1ccccc1)S(C)(=O)=O,625.7130000000002,3.0,5.0,5.6033200000000045,6.031517051446064
2128,active,CHEMBL1210354,Cc1c(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cccc1N(c1ccccc1)S(C)(=O)=O,625.7130000000002,3.0,5.0,5.6033200000000045,7.585026652029182
2129,active,CHEMBL1210353,CS(=O)(=O)N(c1ccncc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c1,612.6740000000002,3.0,6.0,4.689900000000004,6.6777807052660805
2130,active,CHEMBL1210358,CS(=O)(=O)N(c1cccnc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c1,612.6740000000002,3.0,6.0,4.689900000000004,7.602059991327962
2131,active,CHEMBL1210351,CS(=O)(=O)N(c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c1)c1ccccn1,612.6740000000002,3.0,6.0,4.689900000000003,6.5376020021010435
2132,active,CHEMBL1210350,O=C(N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(C(F)(F)F)c1)c1cccc(N2c3ccccc3OS2(=O)=O)c1,611.6420000000003,3.0,6.0,4.972500000000005,6.040958607678906
2133,active,CHEMBL1210349,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2cc(Cl)cc(Cl)c2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,675.6789999999999,4.0,6.0,5.220100000000004,7.958607314841775
2134,active,CHEMBL1210348,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2ccc(C#N)cc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,631.7989999999999,4.0,7.0,3.7849800000000013,6.72124639904717
2135,active,CHEMBL1210347,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2ccc(Cl)cc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,641.2339999999998,4.0,6.0,4.566700000000004,8.0
2136,active,CHEMBL1210346,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2ccc(C(F)(F)F)cc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,674.7859999999997,4.0,6.0,4.932100000000005,7.698970004336018
2137,active,CHEMBL1210345,COc1ccc(N(c2cccc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN[C@@H](C)C(=O)NC3CCCCC3)c2)S(C)(=O)=O)cc1,636.8150000000003,4.0,7.0,3.9219000000000017,7.958607314841775
2138,active,CHEMBL1210344,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2cccc(C#N)c2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,631.7989999999999,4.0,7.0,3.7849800000000013,8.096910013008056
2139,active,CHEMBL1210343,COc1cccc(N(c2cccc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN[C@@H](C)C(=O)NC3CCCCC3)c2)S(C)(=O)=O)c1,636.8150000000003,4.0,7.0,3.9219000000000026,7.744727494896693
2140,active,CHEMBL1210342,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2ccccc2C#N)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,631.7989999999999,4.0,7.0,3.7849800000000013,6.508638306165727
2141,active,CHEMBL1210341,COc1ccccc1N(c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)c1)S(C)(=O)=O,636.815,4.0,7.0,3.9219000000000026,6.899629454882437
2142,active,CHEMBL1210340,CS(=O)(=O)N(c1ccccc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c1,611.6860000000004,3.0,5.0,5.294900000000005,7.638272163982406
2143,inactive,CHEMBL1210339,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(S(=O)(=O)N(C)Cc2ccccc2)c1)C(=O)NC1CCCCC1,620.8159999999998,4.0,6.0,3.6363,4.3872161432802645
2144,inactive,CHEMBL1210338,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(S(=O)(=O)Cc2ccccc2)c1)C(=O)NC1CCCCC1,591.7739999999999,4.0,6.0,3.789500000000001,4.30102999566398
2145,inactive,CHEMBL1210337,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(CS(=O)(=O)c2ccccc2)c1)C(=O)NC1CCCCC1,591.7739999999999,4.0,6.0,3.789500000000001,4.356547323513812
2146,inactive,CHEMBL1210336,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(OS(=O)(=O)Cc2ccccc2)c1)C(=O)NC1CCCCC1,607.7729999999998,4.0,7.0,3.724400000000001,4.886056647693163
2147,min effect,CHEMBL1210335,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(NS(=O)(=O)Cc2ccccc2)c1)C(=O)NC1CCCCC1,606.7889999999999,5.0,6.0,3.757500000000001,5.259637310505755
2148,min effect,CHEMBL1210334,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(NS(=O)(=O)c2ccccc2)c1)C(=O)NC1CCCCC1,592.7619999999997,5.0,6.0,3.616400000000001,5.102372908709558
2149,active,CHEMBL1210333,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(Cc2ccccc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,620.8159999999998,4.0,6.0,3.781800000000001,6.744727494896693
2150,active,CHEMBL1210332,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(C2CCCCC2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,612.837,4.0,6.0,3.9143000000000017,6.5228787452803365
2151,min effect,CHEMBL1210331,CC(=O)N(c1ccccc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)c1,570.734,4.0,5.0,4.500200000000002,5.886056647693162
2152,min effect,CHEMBL1210330,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(Nc2ccccc2)c1)C(=O)NC1CCCCC1,528.6970000000001,5.0,5.0,4.5592000000000015,5.200659450546418
2153,active,CHEMBL1210329,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2ccccc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,606.7889999999999,4.0,6.0,3.913300000000001,7.823908740944318
2154,min effect,CHEMBL271230,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N2CCCC2=O)c1)C(=O)NC1CCCCC1,520.6740000000004,4.0,5.0,2.9424,5.275724130399211
2155,active,CHEMBL1210431,CC(C)CCCC(C)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2ccccc2)S(C)(=O)=O)c1,565.7800000000002,3.0,5.0,5.290700000000005,7.494850021680094
2156,active,CHEMBL1210432,CS(=O)(=O)N(c1ccccc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CCCCC2)c1,535.7100000000003,3.0,5.0,4.408600000000004,6.614393726401687
2157,active,CHEMBL1210433,CS(=O)(=O)N(c1ccccc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)c1,493.62900000000025,3.0,5.0,3.238300000000001,6.356547323513812
2158,active,CHEMBL251862,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,563.7430000000004,5.0,6.0,3.374200000000002,7.886056647693162
2159,active,CHEMBL1210359,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N(c2ccccc2)S(C)(=O)=O)c1,649.8580000000004,5.0,7.0,4.345100000000003,8.522878745280337
2160,active,CHEMBL1210360,CCOc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,655.7390000000003,3.0,6.0,5.693600000000004,8.522878745280337
2161,active,CHEMBL1210361,CC(C)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,653.7670000000003,3.0,5.0,6.418300000000008,8.301029995663981
2162,active,CHEMBL1210362,CS(=O)(=O)N(c1ccccc1)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(-c2ccccc2)c1,687.7840000000003,3.0,5.0,6.961900000000008,7.886056647693162
2163,active,CHEMBL1210363,CS(=O)(=O)N(c1ccccc1)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N2CCCC2=O)c1,694.7760000000002,3.0,6.0,5.421700000000005,8.221848749616356
2164,active,CHEMBL1210364,CCS(=O)(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,703.8050000000002,3.0,7.0,5.088500000000004,7.853871964321761
2165,active,CHEMBL251862,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,563.7430000000004,5.0,6.0,3.374200000000002,6.512861624522813
2166,active,CHEMBL251862,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,563.7430000000004,5.0,6.0,3.374200000000002,6.440093374963887
2167,active,CHEMBL1210329,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2ccccc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,606.7889999999999,4.0,6.0,3.913300000000001,6.2441251443275085
2168,active,CHEMBL1210329,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2ccccc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,606.7889999999999,4.0,6.0,3.913300000000001,6.292429823902063
2169,active,CHEMBL1210359,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N(c2ccccc2)S(C)(=O)=O)c1,649.8580000000004,5.0,7.0,4.345100000000003,7.67778070526608
2170,active,CHEMBL1210359,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N(c2ccccc2)S(C)(=O)=O)c1,649.8580000000004,5.0,7.0,4.345100000000003,7.275724130399211
2171,active,CHEMBL1210360,CCOc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,655.7390000000003,3.0,6.0,5.693600000000004,7.30102999566398
2172,active,CHEMBL1210360,CCOc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,655.7390000000003,3.0,6.0,5.693600000000004,7.387216143280263
2173,active,CHEMBL1210361,CC(C)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,653.7670000000003,3.0,5.0,6.418300000000008,6.744727494896693
2174,active,CHEMBL1210361,CC(C)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,653.7670000000003,3.0,5.0,6.418300000000008,6.899629454882437
2175,active,CHEMBL1210363,CS(=O)(=O)N(c1ccccc1)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N2CCCC2=O)c1,694.7760000000002,3.0,6.0,5.421700000000005,7.537602002101043
2176,active,CHEMBL1210363,CS(=O)(=O)N(c1ccccc1)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N2CCCC2=O)c1,694.7760000000002,3.0,6.0,5.421700000000005,7.455931955649724
2177,active,CHEMBL1210364,CCS(=O)(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,703.8050000000002,3.0,7.0,5.088500000000004,6.6777807052660805
2178,active,CHEMBL1210364,CCS(=O)(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,703.8050000000002,3.0,7.0,5.088500000000004,6.657577319177793
2179,active,CHEMBL1210434,CS(=O)(=O)N(c1ccccc1)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(C2CCCC2)c1,679.8050000000002,3.0,5.0,6.952500000000009,8.397940008672036
2180,active,CHEMBL1210434,CS(=O)(=O)N(c1ccccc1)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(C2CCCC2)c1,679.8050000000002,3.0,5.0,6.952500000000009,6.560667306169737
2181,active,CHEMBL1210434,CS(=O)(=O)N(c1ccccc1)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(C2CCCC2)c1,679.8050000000002,3.0,5.0,6.952500000000009,6.688246138944245
2182,min effect,CHEMBL63354,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,538.4640000000002,6.0,10.0,5.134000000000007,5.8124792791635365
2183,min effect,CHEMBL255493,COc1cc(O)c2c(=O)cc(-c3ccc(O)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1,552.4910000000001,5.0,10.0,5.437000000000006,5.853871964321762
2184,min effect,CHEMBL378188,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,552.4910000000003,5.0,10.0,5.437000000000006,5.694648630553376
2185,min effect,CHEMBL450522,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1-c1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O,552.4910000000003,5.0,10.0,5.437000000000006,5.801342913045577
2186,active,CHEMBL220745,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4O)c3o2)cc1,552.4910000000003,5.0,10.0,5.437000000000007,6.004364805402449
2187,min effect,CHEMBL377324,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1,566.5180000000003,4.0,10.0,5.7400000000000055,5.3788237182249645
2188,min effect,CHEMBL1208793,COc1cc(O)c2c(=O)cc(-c3ccc(O)c(-c4c(OC)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1,566.5180000000003,4.0,10.0,5.7400000000000055,5.204119982655924
2189,min effect,CHEMBL144630,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(OC)cc6o5)ccc4O)c3o2)cc1,566.5180000000004,4.0,10.0,5.7400000000000055,5.375717904164332
2190,inactive,CHEMBL208988,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(OC)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,566.5180000000004,4.0,10.0,5.7400000000000055,5.0
2191,min effect,CHEMBL1208903,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4OC)c3o2)cc1,566.5180000000003,4.0,10.0,5.7400000000000055,5.521433504406156
2192,inactive,CHEMBL374055,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4O)c3o2)cc1,566.5180000000003,4.0,10.0,5.7400000000000055,5.0
2193,inactive,CHEMBL208578,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(OC)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1,580.5450000000002,3.0,10.0,6.043000000000006,5.0
2194,inactive,CHEMBL208908,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(OC)cc6o5)ccc4OC)c3o2)cc1,580.5450000000002,3.0,10.0,6.043000000000008,5.0
2195,inactive,CHEMBL1208904,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4cc(-c5cc(=O)c6c(O)cc(OC)cc6o5)ccc4O)c3o2)cc1,580.5450000000002,3.0,10.0,6.043000000000006,5.0
2196,inactive,CHEMBL453479,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4OC)c3o2)cc1,580.5450000000002,3.0,10.0,6.043000000000008,5.0
2197,inactive,CHEMBL378516,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4cc(-c5cc(=O)c6c(O)cc(OC)cc6o5)ccc4OC)c3o2)cc1,594.5720000000002,2.0,10.0,6.346000000000008,5.0
2198,active,CHEMBL220741,O=C1C[C@@H](c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)Oc2cc(O)cc(O)c21,540.4800000000001,6.0,10.0,5.067100000000006,6.1249387366083
2199,active,CHEMBL1208905,COc1ccc([C@@H]2CC(=O)c3c(cc(OC)c(C)c3O)O2)cc1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,582.5610000000003,4.0,10.0,5.981520000000009,6.455931955649724
2200,inactive,CHEMBL63677,O=c1cc(-c2ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c2)oc2cc(O)cc(O)c12,538.4640000000002,6.0,10.0,5.134000000000006,5.0
2201,inactive,CHEMBL1208973,O=c1cc(-c2ccc(O)cc2)oc2c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c(O)cc(O)c12,538.4640000000003,6.0,10.0,5.134000000000007,5.0
2202,inactive,CHEMBL291426,O=c1cc(-c2ccc(Oc3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)cc2)oc2cc(O)cc(O)c12,538.4640000000003,5.0,10.0,5.5537000000000045,5.0
2203,min effect,CHEMBL1209420,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3CC4CCC3C4)c2)CC1,469.5760000000003,3.0,4.0,3.6405000000000016,5.721246399047171
2204,min effect,CHEMBL1209419,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3CC4CC3CO4)c2)CC1,471.5480000000003,3.0,5.0,2.6293000000000006,5.619788758288393
2205,min effect,CHEMBL1209418,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C3COCCO3)c2)CC1,460.5210000000003,3.0,5.0,2.7397000000000014,5.397940008672037
2206,min effect,CHEMBL1209358,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C3CCCCO3)c2)CC1,458.5490000000003,3.0,4.0,3.8934000000000015,5.769551078621725
