,bioactivity_class,molecule_chembl_id,canonical_smiles,Molecular Weight,Number of Hydrogen Donors,Number of Hydrogen Acceptors,OWPC,pIC50
5615,min effect,CHEMBL3642606,CC1(c2cccc(/C=C/C(=O)Nc3ccc(Cl)cn3)c2)CCSC(N)=N1,386.9080000000001,2.0,5.0,4.053700000000003,5.602059991327962
5616,min effect,CHEMBL3642612,CC1(c2ccc(F)c(NC(=O)c3ccc4ccccc4n3)c2)CCSC(N)=N1,394.47500000000014,2.0,5.0,4.293000000000002,5.173925197299173
5617,min effect,CHEMBL3642605,CC1(c2cc(Br)cc(NC(=O)c3cccs3)c2)CCSC(N)=N1,410.36200000000014,2.0,5.0,4.429700000000002,5.292429823902063
5618,active,CHEMBL3642614,CC1(c2cc(NC(=O)c3cc4cc(F)ccc4[nH]3)ccc2F)CCSC(N)=N1,400.4540000000002,3.0,4.0,4.3652000000000015,6.346787486224656
5619,active,CHEMBL3642619,CC1(c2cc(Br)cc(NC(=O)c3ccccn3)c2)CCSC(N)=N1,405.32100000000014,2.0,5.0,3.763200000000001,6.14266750356873
5620,min effect,CHEMBL3642610,CC1(c2cccc(NCc3ccc(Cl)cc3)c2)CCSC(N)=N1,345.89900000000017,2.0,4.0,4.6189000000000044,5.251811972993799
5621,active,CHEMBL3642611,CC1(c2cc(Br)cc(NC(=O)c3ccco3)c2)CCSC(N)=N1,394.29400000000015,2.0,5.0,3.9612000000000016,6.806875401645538
5622,active,CHEMBL3642600,CC1(c2cc(Br)cc(NC(=O)c3ccc(Cl)cn3)c2)CCSC(N)=N1,439.7660000000001,2.0,5.0,4.4166000000000025,7.4045037781744245
5623,min effect,CHEMBL3642618,CC1(c2cc(Br)cc(NC(=O)c3ccno3)c2)CCSC(N)=N1,395.28200000000015,2.0,6.0,3.356200000000001,5.591251393815756
5624,active,CHEMBL3642607,CC1(c2cc(Br)cc(NC(=O)c3nc4ccccc4s3)c2)CCSC(N)=N1,461.41000000000014,2.0,6.0,4.977900000000003,6.826813731587725
5625,active,CHEMBL3642625,CC1(c2cc(Br)cc(NC(=O)c3cc4ccccc4s3)c2)CCSC(N)=N1,460.42200000000014,2.0,5.0,5.582900000000002,6.782516055786093
5626,active,CHEMBL3642604,Cc1cc(C(=O)Nc2cc(Br)cc(C3(C)CCSC(N)=N3)c2)c(C)o1,422.3480000000001,2.0,5.0,4.578040000000003,6.555955204081923
5627,active,CHEMBL3642623,CC1(c2cc(Br)cc(NC(=O)c3ccc(Br)cc3)c2)CCSC(N)=N1,483.22900000000016,2.0,4.0,5.130700000000003,6.853871964321761
5628,active,CHEMBL3642626,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)cc(C(F)(F)F)c2)CCSC(N)=N1,428.8670000000001,2.0,5.0,4.672900000000003,6.578396073130168
5629,active,CHEMBL3642627,CC1(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)CCSC(N)=N1,360.8700000000002,2.0,5.0,3.6541000000000015,7.214670164989232
5630,min effect,CHEMBL3642628,CC1(c2cccc(NC(=O)c3ccc(Cl)cc3Cl)c2)CCSC(N)=N1,394.32700000000017,2.0,4.0,4.912500000000003,5.890084136976206
5631,active,CHEMBL3642629,CC1(c2cccc(NC(=O)c3ccc(C#N)cc3)c2)CCSC(N)=N1,350.4470000000002,2.0,5.0,3.477380000000001,6.031517051446064
5632,min effect,CHEMBL1570219,CCOc1ccc(N2Cc3ccccc3C2)cc1,239.31799999999998,0.0,2.0,3.605500000000003,5.703993330686327
5633,min effect,CHEMBL1376633,COc1ccc(C2C(C#N)=C(N)N3C(=C2C#N)Sc2ccccc23)cc1,358.4260000000001,1.0,6.0,3.8337600000000025,5.489589051989822
5634,active,CHEMBL3642632,COCc1cc(NC(=O)c2ccc(Br)cc2)cc(C2(C)CCSC(N)=N2)c1,448.38600000000014,2.0,5.0,4.514600000000003,6.0400051616715835
5635,min effect,CHEMBL3642633,COCc1cc(NC(=O)c2ccc(Cl)cc2)cc(C2(C)CCSC(N)=N2)c1,403.9350000000002,2.0,5.0,4.405500000000003,5.823908740944319
5636,min effect,CHEMBL3642634,COCc1cc(NC(=O)c2ccc(F)cc2)cc(C2(C)CCSC(N)=N2)c1,387.48000000000013,2.0,5.0,3.8912000000000018,5.0707343817469335
5637,min effect,CHEMBL3642635,COCc1cc(NC(=O)c2ccc(C(F)(F)F)cc2)cc(C2(C)CCSC(N)=N2)c1,437.48700000000014,2.0,5.0,4.770900000000003,5.33856594960608
5638,min effect,CHEMBL3642636,COCc1cc(NC(=O)c2ccc(OC(F)(F)F)cc2)cc(C2(C)CCSC(N)=N2)c1,453.48600000000016,2.0,6.0,4.650700000000003,5.438660058541099
5639,min effect,CHEMBL3642637,COCc1cc(NC(=O)c2ccco2)cc(C2(C)CCSC(N)=N2)c1,359.45100000000014,2.0,6.0,3.3451000000000013,5.830031826003107
5640,active,CHEMBL1241481,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(=O)OC(C)(C)C,398.46700000000016,2.0,8.0,4.012000000000002,6.640164517660112
5641,active,CHEMBL1241578,CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,348.20400000000006,2.0,6.0,3.124500000000001,6.756961951313706
5642,active,CHEMBL1233882,CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,304.357,1.0,6.0,3.2046,6.657577319177793
5643,min effect,CHEMBL584726,CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)n(-c2c(Cl)cc(C(F)(F)F)cc2Cl)n1,505.75500000000005,2.0,3.0,7.792800000000003,5.642446280256918
5644,active,CHEMBL3937030,CC(C)N1CNc2c(NCc3ccc(N)cc3)nc(N3CCCCC3CCO)nc21,411.5540000000003,4.0,8.0,3.010000000000002,6.886056647693163
5645,inactive,CHEMBL3645162,C[C@@H](NC(=O)c1ccc(C2(C)CCSC(N)=N2)s1)c1ccccc1,359.52,2.0,5.0,3.9059000000000026,5.0
5646,active,CHEMBL3645163,CC1(c2cc(Cl)cc(NC(=O)c3ccc(Br)cc3)c2)CCSC(N)=N1,438.7780000000001,2.0,4.0,5.021600000000003,6.782516055786093
5647,active,CHEMBL3645164,CC1(c2cc(Cl)cc(NC(=O)c3nc4ccccc4s3)c2)CCSC(N)=N1,416.9590000000002,2.0,6.0,4.868800000000003,6.787812395596042
5648,active,CHEMBL3645165,CC1(c2cc(Cl)cc(NC(=O)c3ccco3)c2)CCSC(N)=N1,349.84300000000013,2.0,5.0,3.852100000000002,6.614393726401687
5649,active,CHEMBL3645166,CC1(c2cc(Cl)cc(NC(=O)c3ccc(Cl)cn3)c2)CCSC(N)=N1,395.31500000000017,2.0,5.0,4.307500000000003,7.309803919971485
5650,active,CHEMBL3645167,CC1(c2cc(Cl)cc(NC(=O)c3cc4ccccc4s3)c2)CCSC(N)=N1,415.9710000000002,2.0,5.0,5.473800000000002,6.653647025549361
5651,active,CHEMBL3642613,CC1(c2cc(NC(=O)c3ccc(C(F)(F)F)cn3)cc(C(F)(F)F)c2)CCSC(N)=N1,462.41900000000015,2.0,5.0,5.038300000000002,6.088309841246138
5652,active,CHEMBL3645168,CC1(c2cccc(NC(=O)c3ccc(Br)cn3)c2)CCSC(N)=N1,405.32100000000014,2.0,5.0,3.7632000000000017,7.431798275933005
5653,active,CHEMBL3645169,NC1=NC(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)CCS1,346.84300000000013,2.0,5.0,3.4800000000000018,6.296708621881338
5654,active,CHEMBL3645170,Cc1cc(C)c(C(=O)Nc2cc(Br)cc(C3(C)CCSC(N)=N3)c2)o1,422.3480000000001,2.0,5.0,4.578040000000001,6.795880017344074
5655,active,CHEMBL3645171,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CCSC(N)=N1,378.8600000000001,2.0,5.0,3.7932000000000015,7.568636235841011
5656,active,CHEMBL3645172,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2Cl)CCSC(N)=N1,395.31500000000017,2.0,5.0,4.307500000000003,7.494850021680094
5657,active,CHEMBL3645173,CC1(c2cccc(NC(=O)c3ccc(C(N)=O)cn3)c2)CCSC(N)=N1,369.45000000000016,3.0,6.0,2.0996,6.361510743045362
5658,active,CHEMBL3645174,CC1(c2cccc(NC(=O)c3ncc(Cl)cc3Cl)c2)CCSC(N)=N1,395.31500000000017,2.0,5.0,4.307500000000003,7.267606240177031
5659,active,CHEMBL3645175,Cc1cnc(C(=O)Nc2cccc(C3(C)CCSC(N)=N3)c2)cn1,341.44000000000005,2.0,6.0,2.70412,6.079354998593212
5660,min effect,CHEMBL3645176,CC(C)Oc1cc(NC(=O)c2ccc(Cl)cn2)cc(C2(C)CCSC(N)=N2)c1,418.95000000000016,2.0,6.0,4.441300000000003,5.639028116274063
5661,active,CHEMBL3645177,COc1cc(NC(=O)c2ccc(Cl)cn2)cc(C2(C)CCSC(N)=N2)c1,390.89600000000013,2.0,6.0,3.662700000000002,6.7594507517174
5662,active,CHEMBL3670347,C[C@@]1(c2cccc(NC(=O)c3ccc(Br)cn3)n2)COCC(N)=N1,390.24100000000016,2.0,6.0,2.094,6.4089353929735
5663,active,CHEMBL3670348,CC1(c2cccc(NC(=O)c3ccc(Br)cn3)n2)COCC(N)=N1,390.24100000000016,2.0,6.0,2.094,6.102372908709557
5664,min effect,CHEMBL3670349,NC1=NC(CF)(c2cccc(NC(=O)c3ccc(Cl)cn3)n2)COC1,363.78000000000014,2.0,6.0,1.9345,5.585026652029181
5665,min effect,CHEMBL3670350,NC1=NC(CF)(c2cccc(NC(=O)c3ccc(Br)cn3)n2)COC1,408.23100000000017,2.0,6.0,2.0436,5.795880017344075
5666,active,CHEMBL3670351,Cc1cc(C#N)cnc1C(=O)Nc1cccc(C2(CF)COCC(N)=N2)n1,368.3720000000001,2.0,7.0,1.4611999999999998,6.568636235841012
5667,min effect,CHEMBL3670352,NC(=S)c1ccc(C(=O)Nc2cccc(C3(CF)COCC(N)=N3)n2)nc1,388.42800000000017,3.0,7.0,0.9152999999999998,5.67778070526608
5668,active,CHEMBL3670353,Cc1cc(C#N)cnc1C(=O)Nc1cccc([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)n1,432.4060000000002,2.0,7.0,2.8326,8.301029995663981
5669,min effect,CHEMBL3670354,C[C@]1(c2cccc(NC(=O)c3ccc(C#N)cn3)n2)CO[C@@](C)(C(F)(F)F)C(N)=N1,418.3790000000001,2.0,7.0,2.5241799999999994,5.207608310501746
5670,active,CHEMBL3670355,C[C@@]1(c2cccc(NC(=O)c3ccc(C#N)cn3)n2)CO[C@@](C)(C(F)(F)F)C(N)=N1,418.3790000000001,2.0,7.0,2.5241799999999994,7.4089353929735
5671,active,CHEMBL3261069,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)n1,450.39600000000013,2.0,7.0,2.9717,8.397940008672036
5672,active,CHEMBL3670356,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)n1,450.39600000000013,2.0,7.0,2.9717,6.309803919971485
