naAromAtom,nAtom,nN,nO,nS,nF,nCl,BCUTw-1h,BCUTp-1l,BCUTp-1h,nBondsD,SpMax1_Bhs,SpMax2_Bhs,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C3SP3,C4SP3,SCH-7,SC-3,VC-3,SPC-4,MIC0,nAtomLAC,piPC6,R_TpiPCTPC,n5Ring,n6Ring,nFRing,nF9Ring,nF10Ring,nFG12Ring,nHeteroRing,n6HeteroRing,VE3_D,VR1_D,pIC50
18,50,0,10,0,0.0,0.0,16.003970050271526,4.941952570474697,10.70773291575885,1.0,4.787953353862003,4.44050824549071,0,1,15,3,0,0,0,0.7065041364602664,2.834170980340358,0.985991295092489,6.706835873365722,14.216337370843027,0,6.25021652588956,4.61840356871678,0.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,-5.7886635307302905,288.9839133627337,5.221848749616356
12,34,0,7,0,0.0,0.0,16.001655156759664,4.920513966723572,10.020703063541829,1.0,4.79220773686459,4.390839837091868,0,0,11,2,0,0,0,0.5330114470540577,1.9612093031735096,0.6873379226170295,4.7464021421737845,14.293088650115573,0,5.942963403668036,5.188574938574939,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,-4.615264001343432,244.0889912103782,4.5228787452803365
12,35,0,6,0,0.0,0.0,15.999937316277105,4.917999189313299,9.940203383231749,0.0,4.408829644224541,4.3746096669710965,0,0,10,2,0,0,0,0.5240343003282567,1.8369830364861184,0.685174361255422,4.159814256244642,13.795988100613927,0,5.787855511170771,4.985447510094213,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,-5.1908651615458385,244.68980890433272,4.5528419686577815
18,50,0,10,0,0.0,0.0,16.003970050271526,4.941952570474697,10.70773291575885,1.0,4.787953353862003,4.44050824549071,0,1,15,3,0,0,0,0.7065041364602664,2.834170980340358,0.985991295092489,6.706835873365722,14.216337370843027,0,6.25021652588956,4.61840356871678,0.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,-5.7886635307302905,288.9839133627337,5.346787486224656
12,35,0,6,0,0.0,0.0,15.999937316277105,4.917999189313299,9.940203383231749,0.0,4.408829644224541,4.3746096669710965,0,0,10,2,0,0,0,0.5240343003282567,1.8369830364861184,0.685174361255422,4.159814256244642,13.795988100613927,0,5.787855511170771,4.985447510094213,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,-5.1908651615458385,244.68980890433272,4.638272163982406
12,89,3,6,0,2.0,0.0,18.999417961610735,3.7283028680046257,11.114282108761088,4.0,5.1756616925035255,5.085053017389465,0,4,9,3,6,1,0,0.2804203307853608,2.9226129091351765,1.1100571765456828,5.790591664888018,15.711736975278766,7,5.784786258809287,3.1814119170984454,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.9232752517905585,1092.24194434358,6.3979400086720375
12,83,3,6,0,2.0,0.0,18.99941738193048,3.7480144464132295,11.109235096855716,4.0,5.147191413056857,5.0544711947363234,0,4,9,3,6,1,0,0.2804203307853608,2.9226129091351765,1.1100571765456828,5.790591664888018,16.142054719749193,7,5.790915372039707,3.244203091684435,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.15538075510749,616.5152428299335,5.552841968657781
0,93,4,5,1,0.0,0.0,31.972072991984817,4.4069114095399975,11.261927335051508,4.0,5.080168004200408,5.060565494366622,0,4,0,0,8,4,0,0.26276270605226176,2.89646726928392,1.757310814538117,5.054611144704398,15.358304395083758,5,4.605170185988092,1.1815754339118825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.422933574879284,438.2014581295708,5.739928612014924
12,68,5,3,0,6.0,0.0,19.003839446782912,3.649763580224056,10.64870160914432,2.0,5.53141746491999,5.5230208042680715,0,1,9,3,8,0,0,0.31500263038945664,4.762974633159057,1.2221152317945088,7.075206910678512,19.82300127733552,3,6.034284544290911,3.817282146652497,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,-6.2523046829112605,1063.5234442792184,7.2380721615794705
11,35,4,2,2,0.0,0.0,31.973073000272585,4.598134083493757,10.829444666061653,2.0,4.649604905974379,4.638041768621332,0,0,6,1,3,0,0,0.2730017401615745,1.4010475702906076,0.5791649021060659,2.518753282698809,23.227663158833128,0,5.267535942208599,4.3815203562340965,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.153389239353698,439.221789924925,7.602059991327962
12,56,4,3,0,0.0,1.0,34.968853945176576,4.742799522054538,10.599179759294397,2.0,4.6748716463334095,4.664352088949945,0,1,11,1,4,0,0,0.2689388409965197,1.826799680358247,0.8180362796227184,3.3906229778835835,17.931679991685137,3,5.645226025196178,4.2486658456486035,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.140418594504418,331.6381575442688,7.013228265733753
6,109,6,7,0,0.0,0.0,16.00099971989765,4.883969300417525,11.193324720646254,5.0,4.938082252560134,4.927184123646644,0,6,2,1,11,4,0,0.07216878364870323,4.760821483903273,2.8848448844815886,8.049396802953725,14.105226751379465,5,5.066148837359501,1.5853553921568628,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,-7.792674677540469,714.5538565408012,7.1870866433571425
6,106,6,7,0,0.0,0.0,16.000997928485383,4.844673537346976,11.114720880046704,5.0,4.928384277843913,4.917424256843012,0,6,2,1,11,4,0,0.07216878364870323,4.858452556841091,2.9824759574194064,7.978955181151995,14.238940505719073,4,5.034107650281398,1.5994576185671041,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,-8.399318803465901,684.4409054701966,6.585026652029183
12,70,3,5,1,0.0,0.0,31.972072785356,5.4951482184694544,11.775436149088998,4.0,5.083524713162282,4.769051155652376,0,1,10,3,3,1,0,0.3214657696122633,3.6047949714358754,1.6332087867298748,6.656584386770043,16.7490544440087,4,5.927759012274303,3.834297404063205,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.129935014332258,439.2667154433693,6.619788758288393
