Molecular Weight,Number of Hydrogen Donors,Number of Hydrogen Acceptors,OWPC
544.6900000000003,5.0,8.0,0.9996000000000036
498.70900000000023,4.0,5.0,2.2184000000000017
484.6820000000002,5.0,5.0,1.8762000000000028
474.69300000000015,5.0,7.0,0.6428000000000025
459.67800000000017,4.0,6.0,1.705600000000001
459.67800000000017,4.0,6.0,1.705600000000001
546.8000000000003,5.0,7.0,1.8244000000000018
532.7730000000003,5.0,7.0,1.4343000000000024
518.7460000000003,5.0,7.0,1.044200000000003
574.8100000000002,5.0,8.0,2.2088000000000014
574.8100000000002,5.0,8.0,2.2088000000000014
624.8700000000002,5.0,8.0,3.352800000000001
604.8800000000003,5.0,8.0,3.213000000000002
590.8530000000003,5.0,8.0,2.8229000000000015
576.8260000000002,5.0,8.0,2.432800000000001
539.5100000000003,3.0,6.0,4.755200000000003
515.6130000000003,1.0,5.0,6.034500000000006
